"Theta [deg]","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='0deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='5deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='10deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='15deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='20deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='25deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='30deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='35deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='40deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='45deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='50deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='55deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='60deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='65deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='70deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='75deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='80deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='85deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='90deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='95deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='100deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='105deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='110deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='115deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='120deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='125deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='130deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='135deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='140deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='145deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='150deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='155deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='160deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='165deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='170deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='175deg'","dB(RealizedGainRHCP) [] - Freq='0.159GHz' Phi='180deg'"
-56,-1.95081011070103,-1.97455736681216,-2.00175205033859,-2.03233757001644,-2.06613712765718,-2.10278577824874,-2.1416524955351,-2.18176336432692,-2.22174285258059,-2.2597953663444,-2.29375058985117,-2.32118996887653,-2.33965631840067,-2.34692581512885,-2.34129805844303,-2.32184501630727,-2.28856188191536,-2.24238416841691,-2.18506900084747,-2.1189717924518,-2.04677030393245,-1.97119116642599,-1.89478206070047,-1.81975347448199,-1.74789501910156,-1.6805574325071,-1.61868390895178,-1.56287221527371,-1.51345025383794,-1.47055057449827,-1.43417274946019,-1.40422613912651,-1.38054949796427,-1.362908293603,-1.35097545216645,-1.34430589714884,-1.34231860662757
-55,-1.40141663840815,-1.41784610414996,-1.43777134756009,-1.46102451959233,-1.48734003745296,-1.51629657486641,-1.54724696771276,-1.57924882668442,-1.61101413259228,-1.64089964468497,-1.66695881845924,-1.68706775201367,-1.69912196257661,-1.70128028875958,-1.69221320389926,-1.67130331239499,-1.63875169904096,-1.59556508033212,-1.54342832881628,-1.48449399736965,-1.42113575300975,-1.35571289434198,-1.29038146761309,-1.22697039910128,-1.16692472838649,-1.11130617723996,-1.06083491599373,-1.01595468147902,-0.976904845491966,-0.943786184476233,-0.916610944464281,-0.895331819029187,-0.87984853626968,-0.869994899196166,-0.865513216797947,-0.866026628418841,-0.871022006450885
-54,-0.924626947328848,-0.935046582798998,-0.948949232642303,-0.966084479284575,-0.986125943448873,-1.00862173876647,-1.03293149661778,-1.05816371465068,-1.08313216045811,-1.10635220245034,-1.12609506855508,-1.1405087290514,-1.14779879546111,-1.1464447070266,-1.1354113270658,-1.11431041659259,-1.08347433544085,-1.0439245058978,-0.997242931620029,-0.945377220085028,-0.890421009416709,-0.834410463529304,-0.779166580975204,-0.726197928709801,-0.676664118277964,-0.631389918437209,-0.590914227820515,-0.55555666474517,-0.525486103288371,-0.50077887300072,-0.481458552007479,-0.467513666180931,-0.458893827442904,-0.455488758194868,-0.45709809810032,-0.463402515104112,-0.473947814472552
-53,-0.521114057679839,-0.526559998110703,-0.535438374676097,-0.54744041290527,-0.56220161634007,-0.579259427943028,-0.597996614546441,-0.617584560896068,-0.63694508557096,-0.654750402928055,-0.669476804358264,-0.679517835075609,-0.683348267691402,-0.67971434956469,-0.667813795845164,-0.647426050562683,-0.618962111409357,-0.583421826394797,-0.542268864610126,-0.4972518760057,-0.450209142964981,-0.402892056511724,-0.356832757731207,-0.313267854888607,-0.273117442237278,-0.237009268034259,-0.205332688463343,-0.178305697889181,-0.156039966228385,-0.138592391393765,-0.125996199917788,-0.118269316059719,-0.115402053639438,-0.117329884909351,-0.123899923263578,-0.134841564096376,-0.149752029417524
-52,-0.190871578826696,-0.192171870530399,-0.196832829287019,-0.204507268225386,-0.214810634755011,-0.227284787802914,-0.241346989007874,-0.25623834665148,-0.270989837305524,-0.284424171038494,-0.295206965507294,-0.301950832930497,-0.30336253992947,-0.298409664100423,-0.286473672081831,-0.267455245912643,-0.241806668084961,-0.210482963651402,-0.174822790756981,-0.136385373895145,-0.0967766919597557,-0.057495874305286,-0.0198237198987871,0.0152367196896194,0.0469689508042287,0.0749112880444223,0.0987994863050863,0.118499982636957,0.133948294073154,0.145103383464246,0.151924016550239,0.154368195757401,0.15241234243615,0.146083404841351,0.135494694929526,0.120875167745375,0.102582307324215
-51,0.0662397623962062,0.0684143127567373,0.0673095056500895,0.063294731470242,0.0567603490386508,0.0481487497039503,0.0380004827777145,0.0270014164343082,0.0160135202917178,0.00607236755088074,-0.00166031681922813,-0.00599108902991421,-0.00582588438274351,-0.00031556747551968,0.0110138050380127,0.0281756125944811,0.0507030071397125,0.0777005928159832,0.107956348869768,0.140089760437762,0.172706531421766,0.204532549648966,0.234507904886442,0.261832498307547,0.285965137431537,0.306585984687169,0.323536893855679,0.336755420815332,0.346216579977254,0.35189254809329,0.353735506318859,0.351683672525632,0.345686116641307,0.335738662000963,0.321921264658454,0.304426808862686,0.283572357026402
-50,0.250148536803131,0.255244698373425,0.257144307500966,0.256225881052076,0.252874388361358,0.247508005614686,0.240620042407767,0.232822404215136,0.224874012552542,0.217678590735945,0.212241645177891,0.209585729960498,0.210634333372871,0.216085030922759,0.226298536392855,0.241229351455203,0.260415357702513,0.283030114467034,0.307987054864958,0.334073713336967,0.360089482071594,0.384962589867358,0.407829298266867,0.428067999672177,0.445290401603189,0.459299462809789,0.470028234195137,0.477474982069537,0.48164822091675,0.482531290821771,0.480070916107652,0.474188885207776,0.464811519732565,0.451908518653297,0.435531280793342,0.415840922287636,0.393117869671377
-49,0.36034199979745,0.367892971087614,0.372326225509579,0.374018888951476,0.373341745473381,0.370682443288058,0.366483866636611,0.361284536867531,0.355745356114154,0.350648326612544,0.34685832735325,0.345247799277297,0.346594400917575,0.351470642099609,0.360149293121831,0.372546949846074,0.388220327485233,0.406417736555602,0.426175449449005,0.44643910650226,0.466186371446802,0.484529074480243,0.500779643473355,0.514475425535379,0.525363290531247,0.53335398515962,0.538460043911259,0.540732255454114,0.540207888199162,0.536879770960963,0.530689964852258,0.521546345295523,0.509355957693123,0.494066141675933,0.475703337784958,0.454400115145499,0.430403114231302
-48,0.395692199871893,0.405292284809336,0.411845902121637,0.41572032314718,0.417265203120995,0.41683292990286,0.414814048619635,0.411675184956066,0.407984681389354,0.404412705140042,0.401697947209297,0.400581264291444,0.401715860716714,0.40557139795511,0.412353280447422,0.421956677667077,0.433967632237089,0.447712793721856,0.462348112885923,0.476968481280166,0.490716879642416,0.502873432668803,0.512910682402819,0.520509442548532,0.525537792156025,0.528002505317106,0.527986418185521,0.525586383208169,0.520864607012657,0.513821944896325,0.504396222829926,0.492483149831922,0.477972971044874,0.460793364135068,0.440948382915899,0.41854434331097,0.393796134177224
-47,0.354303097629804,0.365585652549677,0.373883138929861,0.379546128482479,0.382897600198022,0.384251068678576,0.383943639223223,0.382371993995801,0.380017401798087,0.377447531736281,0.375288048656598,0.374164649535001,0.374624564958754,0.377053362393368,0.381606029495964,0.388169500693163,0.396367181944711,0.405606377413159,0.415159617206386,0.424263520057284,0.432215795645287,0.438452629575714,0.442594049425697,0.444452286539328,0.44400584762062,0.44134846085507,0.436626141802797,0.429976713707123,0.421484186041721,0.411156049416958,0.398925911455637,0.384678322186899,0.368288290456509,0.349665575477014,0.328793509168024,0.305753628841804,0.280730371471071
