"Theta [deg]","dB(GainLHCP) [] - Freq='0.159GHz' Phi='0deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='5deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='10deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='15deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='20deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='25deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='30deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='35deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='40deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='45deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='50deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='55deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='60deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='65deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='70deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='75deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='80deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='85deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='90deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='95deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='100deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='105deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='110deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='115deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='120deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='125deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='130deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='135deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='140deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='145deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='150deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='155deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='160deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='165deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='170deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='175deg'","dB(GainLHCP) [] - Freq='0.159GHz' Phi='180deg'"
90,-5.99144067301012,-6.98125776082109,-8.20904178478,-9.68959031815047,-11.4204271048985,-13.3711014412321,-15.4818901824124,-17.6897660352735,-19.9873862519976,-22.4659231537645,-25.2246956554158,-27.8821430164159,-28.8238185617783,-27.6973441675731,-26.4838273949337,-26.2227095008622,-27.2963041261117,-29.7862772598085,-29.7963677910859,-24.4826231700301,-19.7172503247472,-16.0902183613028,-13.2379473294602,-10.9292878044431,-9.0361378953149,-7.4847111748796,-6.22947685665805,-5.24046833760529,-4.49722715124319,-3.98571825109238,-3.69642208839487,-3.62282095550078,-3.76000116290953,-4.10340712424012,-4.648032167409,-5.38836479964646,-6.31906741206627
91,-5.89651796860394,-6.90522759915356,-8.15457289545319,-9.65710753743384,-11.4061922443885,-13.3643171328987,-15.4618233255732,-17.6260438303928,-19.8448540508032,-22.2049123429913,-24.782255815879,-27.1729681380321,-27.9732650389252,-26.9732615069476,-25.8836334813715,-25.6810754420351,-26.771007967673,-29.3082721217775,-29.6954651828773,-24.461155674518,-19.6574991459768,-16.0160231006625,-13.1614425320371,-10.8524346824749,-8.95631342584265,-7.39836642716707,-6.13418851728359,-5.13566923086645,-4.38400001177234,-3.8661304580743,-3.57285872430856,-3.4976280750779,-3.63551769443042,-3.98222807602258,-4.53322501546289,-5.28344230677872,-6.22777061642795
92,-5.81223858218876,-6.83929644676558,-8.10949746456132,-9.63315673194908,-11.3995630402036,-13.3644030965504,-15.4486123641662,-17.5707056364913,-19.7143798389603,-21.9615204589179,-24.3666195512809,-26.5157689702711,-27.1962850109615,-26.3073345186491,-25.3340626959122,-25.1900246989949,-26.2963699918283,-28.8644127690176,-29.5862362394455,-24.4504577010651,-19.6137503235505,-15.9588695547821,-13.1019352371882,-10.7922918094563,-8.89286602825463,-7.32802061994259,-6.0544524289102,-5.04589870614205,-4.2851995430687,-3.76028315562086,-3.46225060901551,-3.38449026941817,-3.52208041526251,-3.8710392296887,-4.42744431870235,-5.18687594506392,-6.14465226398693
93,-5.73807438134964,-6.78281884224471,-8.07305963747662,-9.61691759784633,-11.3997729509062,-13.3708752881311,-15.4423808845551,-17.5247266380283,-19.5976912730107,-21.7379836683569,-23.9809684182937,-25.9140297059583,-26.4954331575918,-25.7048247501398,-24.8394066045976,-24.7521908485199,-25.8738904903658,-28.457078832033,-29.4640463942218,-24.4461297384083,-19.5839601685581,-15.9174248268447,-13.0582655042048,-10.7477337594066,-8.84471429117439,-7.27268490444004,-5.98941033249511,-4.97044271564047,-4.20025048045794,-3.66772700864849,-3.36426284784015,-3.28317779487063,-3.41955007186874,-3.76976029921789,-4.33061282103087,-5.09851473819468,-6.06940569979938
94,-5.67338674825731,-6.73502500291591,-8.04435856323728,-9.60739414642496,-11.405834458048,-13.3829608591826,-15.4428575353879,-17.4885275919419,-19.4957898078795,-21.5357247152468,-23.6274744513036,-25.369315761787,-25.8705375201058,-25.1680766775468,-24.4020389025651,-24.3690108852443,-25.5042936744529,-28.0880928404369,-29.3256425944158,-24.4434814684271,-19.5657368168301,-15.8900410540798,-13.0290016273836,-10.7174069446804,-8.81058913450742,-7.23121816835999,-5.93808001134266,-4.90848322889495,-4.12848541971683,-3.5879256064373,-3.27847379454416,-3.19337221592196,-3.32769704671249,-3.6782208719357,-4.24256458880804,-5.01811758147483,-6.00162294728079
95,-5.61745262266308,-6.69504928215445,-8.02237967008965,-9.60344884884828,-11.4165754533106,-13.3996364341576,-15.4494223055208,-17.4620542973992,-19.4091029839815,-21.3555828732731,-23.3075873665251,-24.8819415462563,-25.3199069547465,-24.6975281320916,-24.0229267386699,-24.0409672834997,-25.1875778974447,-27.7584551838298,-29.1690699073939,-24.437690317626,-19.5564049016666,-15.8748006049072,-13.012478644695,-10.6997651215152,-8.78906710007858,-7.20235782524152,-5.89938328991487,-4.85912356578451,-4.06916795344339,-3.52027691915095,-3.20439510367272,-3.11468497136424,-3.24621813625224,-3.5961752661572,-4.16305850237579,-4.94536691386669,-5.9408107516201
96,-5.56948635146612,-6.66195462929343,-8.00602223666827,-9.60383335375398,-11.4306721304996,-13.4196617664851,-15.4611445688789,-17.444838483486,-19.3375919629098,-21.1979570317722,-23.022202322199,-24.4513938110057,-24.84104862931,-24.2924117334231,-23.7020348607736,-23.7678002085938,-24.9230945139638,-27.4682299753372,-28.9934497228459,-24.4239648344757,-19.5530634133375,-15.8695558844181,-13.0068341277831,-10.693103665415,-8.77860267025843,-7.18474913752857,-5.87217185172202,-4.82141095932047,-4.02151269536997,-3.46413154152395,-3.14148866919551,-3.04667308429551,-3.17475083427954,-3.52331526735395,-4.09178989056029,-4.87988062692472,-5.88640489397474
97,-5.52865840339552,-6.6347541653651,-7.99412445885918,-9.60721713893196,-11.4466800271916,-13.4416107805988,-15.4768150849794,-17.436042830528,-19.2808223769363,-21.0628865186493,-22.7717545637739,-24.0765981285772,-24.4310795824751,-23.9512168933561,-23.4386216960394,-23.5486728975625,-24.7096218766557,-27.2165174613959,-28.7986828245376,-24.3977180676793,-19.5526449463891,-15.8719693304791,-13.010045186075,-10.6955954626613,-8.77756169504639,-7.17697463251459,-5.8552521125389,-4.79435739838771,-3.98470312973758,-3.41880857447466,-3.08918121665732,-2.98885269646544,-3.11288571984365,-3.45928128707468,-4.02840084580948,-4.82122279643864,-5.83778346364329
98,-5.49411178759705,-6.6124307496951,-7.98548695794542,-9.61221520810546,-11.4630646842685,-13.4639020536022,-15.4949746074527,-17.434493722172,-19.2380064625376,-20.9500882669087,-22.5562688240448,-23.7560820797627,-24.0869497375714,-23.6719790279668,-23.2314420417838,-23.3822874843876,-24.5454180098211,-27.001468663001,-28.585145639197,-24.354749290884,-19.5519831313008,-15.8795585095804,-13.0199700264807,-10.7053306671439,-8.78425744612764,-7.1775846909692,-5.84741000011418,-4.77695949416924,-3.95790797330377,-3.38360978721816,-3.04687714118839,-2.94071096137973,-3.06017742525185,-3.40367237586399,-3.97248964063782,-4.7689136882738,-5.79427960924261
99,-5.46497681900896,-6.59395519010435,-7.97889542104922,-9.61741566372081,-11.478233136997,-13.4848306996991,-15.5139420110683,-17.4387058119722,-19.2080237898307,-20.8589638152501,-22.3753794659123,-23.4880680944889,-23.8055483513032,-23.4524479635524,-23.0788743327325,-23.2669548233472,-24.428245625182,-26.8203171326728,-28.353437143638,-24.2914258557487,-19.5478932498845,-15.8897503073593,-13.0343966130896,-10.7203618169873,-8.7969901604071,-7.18512987252547,-5.84743610822965,-4.76821782794042,-3.94029651435004,-3.35783251988857,-3.01397003080821,-2.90171670219693,-3.01615455088514,-3.3560554235337,-3.92361956636527,-4.72243937470169,-5.75519414140103
