-135,-74,-53,-54
-55,-75,35,-58
-28,-61,34,-48
32,-72,119,-48
118,-72,180,-50
-180,-72,-156,-50
-161,-73,-83,-50
-137,-54,-51,-11
-52,-49,-9,-27
-10,-50,33,-29
-52,-27,-9,-1
32,-50,75,-28
77,-48,118,-29
74,-29,118,-13
73,-13,118,-2
-28,33,-02,77
115,-44,158,-22
117,-23,132,-5
114,-3,134,4
-164,-53,-131,-11
-85,-10,-57,10
-81,9,-47,40
-54,9,-31,33
-53,-7,-35,11
-18,-10,14,7
-3,-3,33,36
31,1,63,35
101,-1,117,35
97,-7,107,2
112,-3,180,45
-171,-1,-85,44
-139,37,-52,67
-55,36,32,67
143,39,180,56
-180,39,-156,56
-24,68,63,81
-8,-8,14,3
